,Usuario,Tweet
0,goal,The power of Lionel Messi 🐐 https://t.co/N6m9QGOxB5
1,iamsrk,Field par Messi aur Mbappe… studio mein @WayneRooney aur main… #Pathaan!18 Dec ki shaam hogi shaandaar!Dekhiye… https://t.co/Meh6WojWAB
2,FIFAWorldCup,Messi v Mbappe 🍿
3,pmJHSKbAoxexT7v,RT @memgrizz: shoutout messi 🐐 https://t.co/8X2yOmTPoa
4,anshillonch,@buenoperdon Te imaginas el plot twist si un casamiento era tu casamiento y llegabas tarde por ver videos de messi? Banco 100%
5,StillAlright38,RT @BarcaWorldwide: 🇦🇷 Messi 🆚 Poland 🇵🇱 https://t.co/8m5wTc7yL4
6,infobaedeportes,La conmovedora carta de la primera maestra de Messi: “Antes de morirme me gustaría abrazarte” https://t.co/0dL1f75umk
7,PolidoroJunior,"Domingo, meio-dia, pelo horário de Brasília, a grande final da Copa do Catar.Mbappé será bicampeão ou Messi vai l… https://t.co/NXCI8k34B1"
8,aliou_diaw26,RT @m_faye7: Pour le bien de l’histoire du foot Messi ne doit pas remporter la CDMS’il remporte cette CDM je me rase la tête boule à zéro…
9,MoonmrEmircn,"RT @rezzan_yetis: Gvardiol’un markajından kurtulmak isteyen Messi, el hareketleriyle Alvarez’i yönlendiriyor. Sonrasında asist yaptığı Alva…"
10,alturki98,RT @BarcaWorldwide: Stats in this World Cup-⚽ Most goals: Messi🎯 Most assists: Messi🔥 Most shots: Messi⚡ Most chances created: Messi h…
11,MondalRexi,@salha07 Do you like Messi too?
12,adom_kwakye,RT @goal: Lionel Messi and Kylian Mbappe are even in the last two World Cups 🤯 https://t.co/IWo24ndz2c
13,Alvarenga_Rafa,RT @arielipillo: Me d una risa ver como defienden a Messi por “Boludos Periodistas”Si messi llega a tener el 10% solo de prensa que ataca…
14,AmenaTroll,RT @goal: Lionel Messi and Kylian Mbappe are even in the last two World Cups 🤯 https://t.co/IWo24ndz2c
15,NBAtipsBetting,@SxrgioSZN Those who say that didn't even watch Messi at 23 because they were like 5 years old
16,bagudiego,RT @sergioranieri: Es hipnótico. No puedo dejar de verlo. #Messi𓃵 https://t.co/CAWnWBDCff
17,KaptaannJack,RT @ESPNFC: How are you supposed to stop Messi? 😳 https://t.co/uN6PuEgQeS
18,Faffyen,@ObiladeOA I love it when u do Messi props 🥺🥺🥺
19,zsmoneyy,RT @NoloFCB: Players with most dribbles in World Cup:🇦🇷 Messi - 126 🇦🇷 Maradona - 106🇧🇷 Jairzinho - 78🇧🇪 Hazard - 65 Lionel Messi to…
20,kumarriz786,RT @abdulaman_an: One Last Shot #Leo #FIFAWorldCup2022 #Messi𓃵 #QatarWorldCup2022  #VamosArgentina #Argentina #LionelMessi #Maradona @433 @…
21,criabom3333,RT @MessiBrasilhd: Faltam 3 dias para o maior jogo da carreira de Lionel Messi! 🔥 https://t.co/BGIDiEopi6
22,bleashed,semoga argentina menang spy bs lihat messi angkat piala world cup terakhir uhuk
23,infobaeamerica,Habló el defensor croata que quedó en ridículo ante Messi: “Algún día les contaré a mis hijos que jugué contra él” https://t.co/08iUm0OkBH
