long,lat,id,tipo,calle_auto,altura,km,velocidad,direccion_,calle_norm,intersec_1,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.44084749,-34.62289487,1,DETECCION DE VIOLACION DE LUZ ROJA,Av.Juan B. Alberdi y Centenera,0,,0,"ALBERDI, JUAN BAUTISTA AV. y BARCO CENTENERA DEL","ALBERDI, JUAN BAUTISTA AV.",BARCO CENTENERA DEL,CABALLITO,6,,
-58.50220119,-34.65132642,2,DETECCION DE VIOLACION DE LUZ ROJA,J.B.Alberdi y Larrazabal,0,,0,"ALBERDI, JUAN BAUTISTA AV. y LARRAZABAL","ALBERDI, JUAN BAUTISTA AV.",LARRAZABAL,MATADEROS,9,,
-58.45847497,-34.604488,3,DETECCION DE VIOLACION DE LUZ ROJA,Av.J.B.Justo y Av.San Martin,0,,0,"JUSTO, JUAN B. AV. y SAN MARTIN AV.","JUSTO, JUAN B. AV.",SAN MARTIN AV.,VILLA CRESPO,15,,
-58.43645932,-34.61829589,4,DETECCION DE VIOLACION DE LUZ ROJA,Av. Rivadavia y Acoyte,0,,0,RIVADAVIA AV. y ACOYTE AV.,RIVADAVIA AV.,ACOYTE AV.,CABALLITO,6,,
-58.38016347,-34.61975683,5,DETECCION DE VIOLACION DE LUZ ROJA,Bernardo de Irigoyen y Carlos Calvo,0,,0,"IRIGOYEN, BERNARDO DE y CALVO, CARLOS","IRIGOYEN, BERNARDO DE","CALVO, CARLOS",CONSTITUCION,1,,
-58.44887619,-34.58275481,6,DETECCION DE VIOLACION DE LUZ ROJA,Av. Cordoba y  Jorge Newbery,0,,0,"CORDOBA AV. y NEWBERY, JORGE AV.",CORDOBA AV.,"NEWBERY, JORGE AV.",CHACARITA,15,,
-58.52160459,-34.6390113,7,DETECCION DE VIOLACION DE LUZ ROJA,Av. Rivadavia y Miralla,0,,0,RIVADAVIA AV. Y MIRALLA,RIVADAVIA AV.,MIRALLA,LINIERS,9,1408,C1408AAY
-58.42855405,-34.61829,8,DETECCION DE VIOLACION DE LUZ ROJA,Rosario y Av. La Plata,0,,0,ROSARIO y LA PLATA AV.,ROSARIO,LA PLATA,CABALLITO,6,,
-58.43006279,-34.59429882,9,DETECCION DE VIOLACION DE LUZ ROJA,Av. Cordoba y Escalabrini Ortiz,0,,0,"CORDOBA AV. y SCALABRINI ORTIZ, RAUL AV.",CORDOBA AV.,"SCALABRINI ORTIZ, RAUL AV.",PALERMO,14,,
-58.42917243,-34.59485173,10,DETECCION DE VIOLACION DE LUZ ROJA,Av. Cordoba y Araoz,0,,0,CORDOBA AV. y ARAOZ,CORDOBA AV.,ARAOZ,PALERMO,14,,
-58.45607698,-34.6212,11,DETECCION DE VIOLACION DE LUZ ROJA,Av. Avellaneda y Donato Alvarez,0,,0,"AVELLANEDA AV. y ALVAREZ, DONATO, TTE. GRAL.",AVELLANEDA AV.,"ALVAREZ, DONATO, TTE. GRAL.",CABALLITO,6,,
-58.50348714,-34.58706354,12,DETECCION DE VIOLACION DE LUZ ROJA,Av. Mosconi y Argerich,0,,0,MOSCONI GENERAL AV. y ARGERICH,MOSCONI GENERAL AV.,ARGERICH,VILLA PUEYRREDON,12,,
-58.44015919,-34.58759807,13,DETECCION DE VIOLACION DE LUZ ROJA,Av. Córdoba y Fitz Roy,0,,0,CORDOBA AV. y FITZ ROY,CORDOBA AV.,FITZ ROY,PALERMO,14,,
-58.43817906,-34.56294476,14,DETECCION DE VIOLACION DE LUZ ROJA,Av. Del Libertador y Federico Lacroce,0,,0,"DEL LIBERTADOR AV. y LACROZE, FEDERICO",DEL LIBERTADOR AV.,"LACROZE, FEDERICO",PALERMO,14,,
-58.37384558,-34.59356438,15,DETECCION DE VIOLACION DE LUZ ROJA,Av. Leando N. Alem y San Martin,0,,0,"ALEM, LEANDRO N. AV. y SAN MARTIN","ALEM, LEANDRO N. AV.",SAN MARTIN,RETIRO,1,,
-58.36869,-34.61700097,16,DETECCION DE VIOLACION DE LUZ ROJA,Av. Paseo Colon e Independencia,0,,0,PASEO COLON AV. e INDEPENDENCIA AV.,PASEO COLON AV.,INDEPENDENCIA AV.,SAN TELMO,1,,
-58.40597079,-34.61011609,17,DETECCION DE VIOLACION DE LUZ ROJA,Av. Rivadavia y Av. Jujuy,0,,0,RIVADAVIA AV. y JUJUY AV.,RIVADAVIA AV.,JUJUY AV.,BALVANERA,3,,
-58.40561079,-34.63711738,18,DETECCION DE VIOLACION DE LUZ ROJA,Av. Caseros y La Rioja,0,,0,CASEROS AV. y LA RIOJA,CASEROS AV.,LA RIOJA,PARQUE PATRICIOS,4,,
-58.38272426,-34.59546241,19,DETECCION DE VIOLACION DE LUZ ROJA,Av. Santa Fe y Cerrito,0,,0,SANTA FE AV. y CERRITO,SANTA FE AV.,CERRITO,RETIRO,1,,
-58.38130708,-34.59031342,20,DETECCION DE VIOLACION DE LUZ ROJA,Av. Carlos Pellegrini,1515,,0,"PELLEGRINI, CARLOS 1515","PELLEGRINI, CARLOS",POSADAS,Retiro,1,1011,C1011AAE
-58.47665,-34.58302,21,CONTROLADOR DE INVASION DE SENDA PEATONAL Y VIOLACION DE LUZ ROJA,Av. De los Incas y Gamarra,0,,0,AV. DE LOS INCAS Y GAMARRA,AV DE LOS INCAS,GAMARRA,PARQUE CHAS,12,,
-58.38018835,-34.62636537,22,CONTROLADOR DE INVASION DE SENDA PEATONAL Y VIOLACION DE LUZ ROJA,Av. Garay y Lima,0,,0,"GARAY, JUAN DE AV. y LIMA","GARAY, JUAN DE AV.",LIMA,CONSTITUCION,1,,
-58.38143853,-34.6277983,23,CONTROLADOR DE INVASION DE SENDA PEATONAL Y VIOLACION DE LUZ ROJA,Av. Brasil y Lima,0,,0,BRASIL y LIMA,BRASIL,LIMA,CONSTITUCION,1,,
