Producto;Precio;Mes
Pan francés;209,92;Enero
Harina de trigo común;62,82;Enero
Arroz blanco simple;120,60;Enero
Fideos secos tipo guisero;80,60;Enero
Carne picada común;481,74;Enero
Pollo entero;229,35;Enero
Aceite de girasol;305,48;Enero
Leche fresca entera sachet;91,22;Enero
Huevos de gallina;163,58;Enero
Papa;61,33;Enero
Azúcar;83,75;Enero
Detergente líquido;114,95;Enero
Lavandina;72,85;Enero
Jabón de tocador;73,15;Enero
Pan francés;225,82;Febrero
Harina de trigo común;65,55;Febrero
Arroz blanco simple;120,62;Febrero
Fideos secos tipo guisero;84,20;Febrero
Carne picada común;538,25;Febrero
Pollo entero;240,37;Febrero
Aceite de girasol;312,80;Febrero
Leche fresca entera sachet;95,44;Febrero
Huevos de gallina;200,45;Febrero
Papa;71,35;Febrero
Azúcar;89,08;Febrero
Detergente líquido;119,86;Febrero
Lavandina;77,26;Febrero
Jabón de tocador;77,41;Febrero
Pan francés;265,71;Marzo
Harina de trigo común;74,22;Marzo
Arroz blanco simple;124,50;Marzo
Fideos secos tipo guisero;93,18;Marzo
Carne picada común;559,84;Marzo
Pollo entero;276,59;Marzo
Aceite de girasol;309,79;Marzo
Leche fresca entera sachet;108,75;Marzo
Huevos de gallina;243,77;Marzo
Papa;67,24;Marzo
Azúcar;98,46;Marzo
Detergente líquido;130,13;Marzo
Lavandina;80,48;Marzo
Jabón de tocador;82,17;Marzo
Pan francés;295,24;Abril
Harina de trigo común;86,18;Abril
Arroz blanco simple;127,08;Abril
Fideos secos tipo guisero;100,91;Abril
Carne picada común;614,62;Abril
Pollo entero;310,00;Abril
Aceite de girasol;351,67;Abril
Leche fresca entera sachet;117,50;Abril
Huevos de gallina;263,81;Abril
Papa;68,20;Abril
Azúcar;110,09;Abril
Detergente líquido;139,97;Abril
Lavandina;89,65;Abril
Jabón de tocador;89,85;Abril
Pan francés;301,62;Mayo
Harina de trigo común;95,25;Mayo
Arroz blanco simple;131,18;Mayo
Fideos secos tipo guisero;108,12;Mayo
Carne picada común;664,87;Mayo
Pollo entero;335,82;Mayo
Aceite de girasol;370,71;Mayo
Leche fresca entera sachet;125,69;Mayo
Huevos de gallina;268,24;Mayo
Papa;71,28;Mayo
Azúcar;123,16;Mayo
Detergente líquido;150,47;Mayo
Lavandina;94,02;Mayo
Jabón de tocador;94,54;Mayo
Pan francés;311,80;Junio
Harina de trigo común;95,24;Junio
Arroz blanco simple;136,95;Junio
Fideos secos tipo guisero;122,06;Junio
Carne picada común;686,83;Junio
Pollo entero;356,69;Junio
Aceite de girasol;418,66;Junio
Leche fresca entera sachet;132,51;Junio
Huevos de gallina;272,46;Junio
Papa;86,64;Junio
Azúcar;133,11;Junio
Detergente líquido;157,60;Junio
Lavandina;96,76;Junio
Jabón de tocador;105,14;Junio
Pan francés;327,39;Julio
Harina de trigo común;107,06;Julio
Arroz blanco simple;137,75;Julio
Fideos secos tipo guisero;139,54;Julio
Carne picada común;695,04;Julio
Pollo entero;367,61;Julio
Aceite de girasol;487,16;Julio
Leche fresca entera sachet;142,42;Julio
Huevos de gallina;305,61;Julio
Papa;91,32;Julio
Azúcar;173,68;Julio
Detergente líquido;163,79;Julio
Lavandina;106,55;Julio
Jabón de tocador;116,38;Julio
Pan francés;343,10;Agosto
Harina de trigo común;114,41;Agosto
Arroz blanco simple;143,83;Agosto
Fideos secos tipo guisero;152,35;Agosto
Carne picada común;697,06;Agosto
Pollo entero;380,37;Agosto
Aceite de girasol;576,12;Agosto
Leche fresca entera sachet;153,89;Agosto
Huevos de gallina;345,75;Agosto
Papa;120,84;Agosto
Azúcar;203,52;Agosto
Detergente líquido;178,55;Agosto
Lavandina;123,51;Agosto
Jabón de tocador;128,12;Agosto
Pan francés;366,54;Septiembre
Harina de trigo común;123,46;Septiembre
Arroz blanco simple;154,33;Septiembre
Fideos secos tipo guisero;162,58;Septiembre
Carne picada común;719,47;Septiembre
Pollo entero;404,87;Septiembre
Aceite de girasol;632,66;Septiembre
Leche fresca entera sachet;171,06;Septiembre
Huevos de gallina;353,57;Septiembre
Papa;142,16;Septiembre
Azúcar;230,74;Septiembre
Detergente líquido;189,51;Septiembre
Lavandina;136,55;Septiembre
Jabón de tocador;142,53;Septiembre
Pan francés;385,20;Octubre
Harina de trigo común;132,37;Octubre
Arroz blanco simple;167,76;Octubre
Fideos secos tipo guisero;177,09;Octubre
Carne picada común;728,26;Octubre
Pollo entero;424,66;Octubre
Aceite de girasol;714,85;Octubre
Leche fresca entera sachet;200,61;Octubre
Huevos de gallina;376,96;Octubre
Papa;224,06;Octubre
Azúcar;248,31;Octubre
Detergente líquido;195,38;Octubre
Lavandina;142,48;Octubre
Jabón de tocador;152,38;Octubre
Pan francés;407,77;Noviembre
Harina de trigo común;140,70;Noviembre
Arroz blanco simple;173,27;Noviembre
Fideos secos tipo guisero;184,35;Noviembre
Carne picada común;704,96;Noviembre
Pollo entero;426,82;Noviembre
Aceite de girasol;727,68;Noviembre
Leche fresca entera sachet;210,21;Noviembre
Huevos de gallina;396,50;Noviembre
Papa;206,65;Noviembre
Azúcar;254,41;Noviembre
Detergente líquido;202,27;Noviembre
Lavandina;150,82;Noviembre
Jabón de tocador;162,05;Noviembre
Pan francés;428,42;Diciembre
Harina de trigo común;146,91;Diciembre
Arroz blanco simple;183,52;Diciembre
Fideos secos tipo guisero;191,91;Diciembre
Carne picada común;698,77;Diciembre
Pollo entero;437,28;Diciembre
Aceite de girasol;776,18;Diciembre
Leche fresca entera sachet;216,31;Diciembre
Huevos de gallina;411,77;Diciembre
