idprovincia,denominacion,iddepartamento,denominacion,departamento,viviendas_particulares,viviendas_colectivas,poblacion1,poblacion_viviendas_particulares,poblacion_viviendas_colectivas,poblacion_situacion_calle,poblacion2,mujeres,varones,generox
2,CABA,2001,COMUNA 01,2001,136185,423,223282,220575,2465,242,220817,115670,105124,23
2,CABA,2002,COMUNA 02,2002,109754,145,158368,157055,1276,37,157092,88463,68576,53
2,CABA,2003,COMUNA 03,2003,111907,192,195462,192643,2647,172,192815,104014,88762,39
2,CABA,2004,COMUNA 04,2004,101524,65,230945,229023,1852,70,229093,120904,108164,25
2,CABA,2005,COMUNA 05,2005,107271,109,193859,191714,2135,10,191724,104706,86953,65
2,CABA,2006,COMUNA 06,2006,108006,65,203784,202488,1254,42,202530,111362,91073,95
2,CABA,2007,COMUNA 07,2007,101999,107,216832,214282,2515,35,214317,114516,99711,90
2,CABA,2008,COMUNA 08,2008,71280,15,204842,204653,186,3,204656,107732,96884,40
2,CABA,2009,COMUNA 09,2009,76171,60,169538,168303,1210,25,168328,88598,79709,21
2,CABA,2010,COMUNA 10,2010,84382,55,171797,170497,1282,18,170515,90907,79555,53
2,CABA,2011,COMUNA 11,2011,103933,66,203491,200521,2959,11,200532,107527,92894,111
2,CABA,2012,COMUNA 12,2012,121272,80,236294,234752,1524,18,234770,125759,108969,42
2,CABA,2013,COMUNA 13,2013,146543,79,265199,262972,2141,86,263058,144479,118542,37
2,CABA,2014,COMUNA 14,2014,153721,411,249016,247447,1486,83,247530,137048,110352,130
2,CABA,2015,COMUNA 15,2015,104816,74,197903,196017,1835,51,196068,105189,90844,35
6,Buenos Aires,6007,Adolfo Alsina,6007,8799,29,17666,17460,206,0,17460,8773,8687,0
6,Buenos Aires,6014,Adolfo Gonzales Chaves,6014,5936,11,12954,12885,69,0,12885,6596,6287,2
6,Buenos Aires,6021,Alberti,6021,5950,10,12726,12650,76,0,12650,6491,6155,4
6,Buenos Aires,6028,Almirante Brown,6028,184403,60,585852,583666,2186,0,583666,301779,281842,45
6,Buenos Aires,6035,Avellaneda,6035,144988,64,370939,369556,1383,0,369556,194911,174572,73
6,Buenos Aires,6042,Ayacucho,6042,9748,18,22136,21881,255,0,21881,11170,10707,4
6,Buenos Aires,6049,Azul,6049,32273,46,75396,74893,503,0,74893,38804,36074,15
6,Buenos Aires,6056,Bahía Blanca,6056,150503,121,335190,333018,2172,0,333018,173210,159685,123
6,Buenos Aires,6063,Balcarce,6063,20663,28,51736,51266,470,0,51266,26388,24869,9
6,Buenos Aires,6070,Baradero,6070,15219,33,38526,37921,605,0,37921,19395,18525,1
6,Buenos Aires,6077,Arrecifes,6077,12715,15,32405,32229,176,0,32229,16703,15525,1
6,Buenos Aires,6084,Benito Juárez,6084,9420,22,22558,21411,1147,0,21411,10911,10497,3
6,Buenos Aires,6091,Berazategui,6091,117699,37,360582,360178,404,0,360178,186255,173892,31
6,Buenos Aires,6098,Berisso,6098,35958,24,101263,100917,346,0,100917,52437,48472,8
6,Buenos Aires,6105,Bolívar,6105,17702,41,38119,36900,1219,0,36900,19138,17756,6
6,Buenos Aires,6112,Bragado,6112,20240,27,44972,44643,329,0,44643,23018,21584,41
6,Buenos Aires,6119,Brandsen,6119,14859,19,33026,32933,93,0,32933,16824,16108,1
6,Buenos Aires,6126,Campana,6126,40926,31,110726,108115,2611,0,108115,55161,52953,1
6,Buenos Aires,6134,Cañuelas,6134,27418,13,71149,70978,171,0,70978,36139,34835,4
6,Buenos Aires,6140,Capitán Sarmiento,6140,6332,10,15906,15823,83,0,15823,8184,7638,1
6,Buenos Aires,6147,Carlos Casares,6147,11244,8,23204,23174,30,0,23174,11891,11283,0
6,Buenos Aires,6154,Carlos Tejedor,6154,5461,8,13148,13072,76,0,13072,6549,6494,29
6,Buenos Aires,6161,Carmen de Areco,6161,7173,11,17386,17232,154,0,17232,8679,8552,1
6,Buenos Aires,6168,Castelli,6168,4093,7,10517,10473,44,0,10473,5341,5129,3
6,Buenos Aires,6175,Colón,6175,11031,13,27356,27245,111,0,27245,14001,13216,28
6,Buenos Aires,6182,Coronel de Marina L. Rosales,6182,28106,74,70407,66103,4304,0,66103,34261,31806,36
6,Buenos Aires,6189,Coronel Dorrego,6189,8653,19,16227,16057,170,0,16057,8228,7828,1
6,Buenos Aires,6196,Coronel Pringles,6196,11394,20,24249,24006,243,0,24006,12482,11513,11
6,Buenos Aires,6203,Coronel Suárez,6203,19599,37,42676,42276,400,0,42276,21702,20560,14
6,Buenos Aires,6210,Chacabuco,6210,24604,22,53157,52837,320,0,52837,27275,25555,7
6,Buenos Aires,6218,Chascomús,6217,18555,86,42914,42628,286,0,42628,21899,20728,1
6,Buenos Aires,6224,Chivilcoy,6224,32044,28,70765,70437,328,0,70437,36736,33693,8
6,Buenos Aires,6231,Daireaux,6231,7566,16,19149,19066,83,0,19066,9715,9339,12
6,Buenos Aires,6238,Dolores,6238,13772,9,31606,31002,604,0,31002,16104,14893,5
6,Buenos Aires,6245,Ensenada,6245,24239,3,64406,64381,25,0,64381,33214,31163,4
