,Usuario,Tweet
0,madorni,"La mitad del país es pobre. El dólar se dispara, se trabaron las importaciones y no hay gasoil (necesario para que… https://t.co/dyspVJrWvZ"
1,madorni,Estimada Myriam: siempre pensé que usted sufría abulia grave. Ahora entiendo que además tampoco comprende lo mas el… https://t.co/Tnvg252U5Y
2,arilijalad,"2355 días

2355 días son los que lleva Milagro Sala como presa política

Eso es tortura. En territorio argentino."
3,mirmer26,"RT @LuisGasulla: En medio de uno de los peores momentos del país, el Presidente @alferdez se toma el recreo para visitar a la condenada del…"
4,HoracioPrac,"RT @CarlaCarrizoAR: Contrastes.
1986. Alfonsín pidiendo por la libertad de quien luego fue presidente de Chile y estaba preso por la dictad…"
5,javialelorenzo7,"RT @GuilleLobo: Milagro Sala: Internada en el Sanatorio Privado Lapachos, propiedad del Candidato K Manuel Quintar. Mañana La Corte designa…"
6,TitinMax,"RT @LuisGasulla: En medio de uno de los peores momentos del país, el Presidente @alferdez se toma el recreo para visitar a la condenada del…"
7,ManuelS17053705,"RT @GuilleLobo: Milagro Sala: Internada en el Sanatorio Privado Lapachos, propiedad del Candidato K Manuel Quintar. Mañana La Corte designa…"
8,zulmifarina,RT @Ojo_Kritico: Gerardo Morales llorando como un imbécil porque su amigo Alberto fue a ver Milagro Sala. ¿Cómo le vas a creer al PJ? Este…
9,drcambalache,"RT @GuilleLobo: Milagro Sala: Internada en el Sanatorio Privado Lapachos, propiedad del Candidato K Manuel Quintar. Mañana La Corte designa…"
10,IglesiaSagrada,"RT @MontenegroViki: Mientras Milagro Sala sigue en terapia intensiva con custodia policial, Pepin Rodriguez se ríe prófugo desde Uruguay. H…"
11,mamitaposho,"RT @madorni: La mitad del país es pobre. El dólar se dispara, se trabaron las importaciones y no hay gasoil (necesario para que el 90% de l…"
12,bouzada_ana,RT @PabloLanusse: Gravísima conferencia de prensa del presidente AF en relación a su repudiable visita a Milagro Sala. Además de insistir c…
13,Agus5_Perez,RT @rctagliaferro: El papá de Solange no pudo viajar a despedir a su hija con cancer terminal. El Presidente puede suspender su agenda con…
14,ale_gordon,RT @cristiancim: Gerardo Morales está torturando a Milagro Sala en terapia intensiva. No se puede mover dr su cama y tiene a un policía al…
