,Usuario,Tweet
0,FlavioBolsonaro,"Falcão é 22!  !  !  O melhor jogador de futsal da história também está com Bolsonaro!  Obrigado pela confiança, craque Fa… https://t.co/toiPIzKpGE"
1,BlogdoNoblat,FIM DO MUNDO!   Aliança de Bolsonaro pediu ao TSE para barrar transporte gratuito amanhã!   Claro que foi negado!   Se pr… https://t.co/Wn4bZ8CV22
2,jairbolsonaro,- América Latina com Bolsonaro pela liberdade. A senadora colombiana @MariaFdaCabal nos lembra que dia 02/10 escolh… https://t.co/EXz8zBqRjF
3,caahcsi,RT @mariribeirov: Votar no PT para vencer o Bolsonaro não significa necessariamente que você goste do Lula. Mas eu gosto.
4,Abel_Souza,"RT @henriolliveira_: ""ÔH ANIMAL,VOTEI EM VOCÊ"" 🤣Se o presidente BOLSONARO votou em DANIEL SILVEIRA, por que raios NÓS não voltaríamos?…"
5,Cria764728751,"RT @SeriesBrasil: 🚨 Lula venceu na Polônia com 213 votos, contra 55 de Bolsonaro. #Eleicoes2022 https://t.co/fDIrY47M77"
6,ottsu90,"RT @KelmonPistola: Bolsonaro carinhoso com o Daniel Silveira:“Ô animal, votei em você!  ”🤣🤣🤣🤣🤣 https://t.co/J7guMsw2Ui"
7,gaburielo,RT @vagnerlanchess: os bolsominions tao comemorando o 70% do bolsonaro com 8000 votos do EXTERIORqualquer migalha pros cara ja eh motivo…
8,Samuel_Alves79,RT @Dario_Dech: Deu Bolsonaro em Tóquio - Japão 🇯🇵 https://t.co/Z2jKE2Kaun
9,JoseRenatoFern4,"@felipeneto Porém, no Japão tomou uma lavada de 85% Bolsonaro. Meus pêsames Felipe Feto"
10,job_borba,"RT @reporterenato: De acordo com boletins de urna, Jair Bolsonaro levou mais votos na eleição em Israel.Bolsonaro (PL) - 45,9% (258 votos…"
11,oflavinvest,@ThiagoResiste Deve ser porque Bolsonaro é o 1° 🤣🤣🤣🤣🤣
12,morangabis,"RT @anapaularenault: Bolsonaro pediu ao TSE que limitasse o transporte público amanhã, durante as eleições.O pedido foi NEGADO e classific…"
13,heavenformars,"RT @eixopolitico: 🇧🇷 | 🇫🇮 BOLETIM DE URNA: HELSINQUE, FINLÂNDIALula: 390Bolsonaro: 127Ciro: 51Tebet: 38📸 @jodmoreira https://t.co/Ia…"
14,serpesolari,"RT @suzenepizani: Última tentativa com os Ciristas: se você votaria no Lula no 2º turno, vote no 1º, pois o risco do Bolsonaro ganhar no 2º…"
15,RiggX4444,"RT @PRNicaragua: 🇧🇷| Esto es lo que les aterra de Jair Bolsonaro a la extrema izquierda, Bolsonaro es la voz anticomunista de Brasil. Nuest…"
