,Unnamed: 0,Usuario,Tweet
0,0,PatoBullrich,¡SE TERMINÓ! Cristina Fernández de Kirchner: basta de su prepotencia violenta.12 años de gobierno: 12 años de con… https://t.co/NW5UHvteum
1,1,marianorecalde,Se suspende el acto de hoy en Parque Lezama. Las vallas de Larreta no van a frenar el apoyo a Cristina.TODOS A… https://t.co/UGDTRPYQUF
2,2,Gregoriodalbon,No se preocupen los vecinos de recoleta. En diciembre de 2023 Cristina se muda a olivos. https://t.co/vmSWBVr2qT
3,3,Gabriel72997047,#Cristinaesviolencia#PPT #LaCornisa #BastaBabyQUE SE DEBE HACER CON CRISTINA REALMENTE??
4,4,Rubn86591868,RT @SAYACRISTINA: Durísimo descargo de Cristina Fernández contra Cambiemos y sus mentiras https://t.co/IdlRpKpKke
5,5,anymv,RT @AzziTeresa1: Alberto Fernández y Cristina Fernández quedarán en la historia. Como lo peor que nos pasó en la democracia de nuestro pa…
6,6,yedepaoli,"RT @aIexismazz: Cristina dijo ""váyanse"" y se fueron. Larreta hubieras llamado a Cristina en vez de mandar a la policía. Se solucionaba al…"
7,7,raquelbisnieta,@CFKArgentina El pueblo con vos querida Cristina❤
8,8,correu_vi,RT @atlanticsurff: Así lleno de comida botellas de vinos y latas de Cerveza dejaron la calle Juncal en Recoleta los militantes que apoyan…
9,9,lilipist,RT @PatoBullrich: ¡SE TERMINÓ! Cristina Fernández de Kirchner: basta de su prepotencia violenta.12 años de gobierno: 12 años de condena.…
10,10,44_susa,RT @indignadoxd: No es navidad ni año nuevo. Son los simios que defienden a Cristina tirando fuegos artificiales. RT para que lo vea todo…
11,11,ShadeOfWhy,Por dios Cristina gracias por existir 🙏💞
12,12,angyportugues,@LaEntrerriana10 No creo que eso sea lo más complicado hoy para Cristina  es jodida su situación Internacional  p… https://t.co/yfvXpmYKba
13,13,pablosgilesok,Incidentes en CABA con manifestantes que apoyan a la vicepresidente Cristina Fernández de Kirchner.Luego de los d… https://t.co/FCrr1BDiBf
14,14,Popi21297293,RT @jlespert: Cristina es chorra boludo y de la más baja estofa. Le robó al pueblo todos sus sueños. Hizo mierda un país y vos sos uno de s…
15,15,parkshinhyeact,"RT @eldestapeweb: ""Recoleta es de Perón"": furor en los bares tras la marcha en apoyo a Cristina https://t.co/7T0AFN2aVN"
16,16,Pichonturco,RT @PatoBullrich: ¡SE TERMINÓ! Cristina Fernández de Kirchner: basta de su prepotencia violenta.12 años de gobierno: 12 años de condena.…
17,17,Haydesu2020,RT @elgordoopina: BANDERAZOOBELISCODOMINGO 28 DE AGOSTO16 00 HORASCRISTINA TIENE QUE RENUNCIAR
18,18,Mksv33,"RT @GabrielSoglio1: Los manifestantes ""violentos"" que están en la casa de Cristina van con libros para que se los firme la Vicepresidenta…"
