,Usuario,Tweet
0,LulaOficial,"Toda a minha solidariedade à companheira @CFKArgentina, vítima de um fascista criminoso que não sabe respeitar dive… https://t.co/0lluoScmZ4"
1,metroadelantado,El custodio de Cristina. https://t.co/aPD97ZF3BJ
2,gabrielboric,"El intento de asesinato a la vicepresidenta de Argentina, Cristina Fernández, merece el repudio y condena de todo e… https://t.co/9OMImwlLh3"
3,Encar47523292,RT @BgarciaBarros: ¿Soy la única a la que no le cuadran los datos del supuesto atentado a Cristina Kirchner?
4,RamonaCleotilde,"RT @luis_villegasr: Toda nuestra solidaridad hacia la valiente Vicepdta. de Argentina, Cristina Fernández @CFKArgentina, ante el atentado c…"
5,LauRiver912,"RT @adnriver_: Que locura que un brasilero intente asesinar a Cristina, Conmebol debería tomar medidas y eliminar a todos los equipos brasi…"
6,Lalooopee,RT @ArgentumTrs: Yao Cabrera cruzándose a Cristina https://t.co/Uag6qJtvST
7,ruizdiyacoo,RT @sindicatodedom4: el mudo q estaba al lado de Cristina intentando avisar q había uno q tenía un fierro https://t.co/RWvanIKnSh
8,SomosDelMillo,“Repudia”: el contundente comunicado de #River luego del atentado contra Cristina Kirchner https://t.co/L8YZ3tGclB
9,SilviSilva28,RT @MatiMow: No puedo parar de darle vueltas a esto:Un tipo con un arma cargada con 5 balas y con la decisión de matar a Cristina le apun…
10,santiiceberioo_,RT @gaspipd: yo no tengo nada que ver con lo de cristina
11,ocatuerta,"RT @PabloIglesias: “Lo que representa @CFKArgentina reside en el imaginario argentino, y resulta imposible de extirpar, incluso con persecu…"
12,giordanaaz,"RT @eixopolitico: 🇦🇷 URGENTE: Cristina Kirchner, vice-presidente da Argentina, sofre tentativa de assassinato.De acordo com o jornal Clar…"
13,JesiGalin,"RT @ischargro: Le gatillaron en la cabeza a la vicepresidenta y el debate es sobre el feriado, en 24 horas fue culpa de Cristina que llevab…"
14,sebyo53,"NO FUNCIONAN BIEN dejan pasar bolsas mortuorias, horcas y señoras diciendo que contratarían sa un sicario para pega… https://t.co/v8rT7AJ5Td"
15,SosaKatja,RT @Alegricesito: Cristina después de parar un balazo con la mente: https://t.co/OmjjdUvWAq
16,_Travex_,RT @rombeyy: El brasilero intentando darle el corchazo a Cristina https://t.co/Qn1LIBg0Ye
17,GarciaLuca_10,RT @sindicatodedom4: el mudo q estaba al lado de Cristina intentando avisar q había uno q tenía un fierro https://t.co/RWvanIKnSh
18,vikimonnutti,RT @_jaaz_r: mis tios el domingo de asado discutiendo sobre lo de Cristina  https://t.co/BJKTg7sD9d
19,CESAR_MISIONES,RT @LANACION: Secuestraron 100 balas en la casa del hombre que gatilló delante de Cristina Kirchner https://t.co/NOdtNmaXK2 https://t.co/fS…
20,carrionserna,RT @ecuernavaco2: Estuvieron mejor preparadas las enfrijoladas de Anahí qué el montaje del atentado a Cristina Kirchner. Puro teatro.
21,KellyEscorcia11,RT @VTVcanal8: Presidente Maduro se solidariza con la vicepresidenta argentina Cristina Fernández tras intento de magnicidio#02Sephttps…
22,DaniloZucatelli,RT @_alineramos: 30 dias pras eleições e começou o inferno astral na política brasileira. só hoje teve: - tiro pro alto no sede do psdb…
23,Noyavalentin7,RT @Peronia_City: Por lo sucedido a Cristina volvemos a fase 1 de aislamiento desde mañana viernes.
24,Arariesss,RT @elonizar: *amenazan a cristina*alberto: https://t.co/i83SRq8z0k
25,wakundamm,"RT @sanchezcastejon: Mi cariño y solidaridad, @CFKArgentina.Nuestra rotunda condena a este intento de magnicidio y el apoyo a la vicepres…"
26,UniversodeusG1,"RT @LulaOficial: Toda a minha solidariedade à companheira @CFKArgentina, vítima de um fascista criminoso que não sabe respeitar divergência…"
27,VaneDellacasa,"RT @JuanGrabois: POR ELLA, POR LA PATRIACristina somos Todos12hs Concentramos en el Obelisco"
28,arqchico,RT @luisunitedclass: @lucianabrazil20 @folha Esse é o Twitter do Brasileiro que tentou assassinar Cristina Kirchner https://t.co/JbxQ3uawRo
29,Nahirpiriz1,RT @almapastore_: el brazuca q no llego a matar a cristina pero consiguió feriado nacional https://t.co/RjzVoVZYko
