,Usuario,Tweet
0,SergioChouza,La situación en CABA está desmadrada.Larreta está de campaña y el Ministro desplazado por chorro. https://t.co/f1q16fMHPn
1,JuanbYofre,Gran repercusión popular por el lanzamiento presidencial de Larreta. La 9 de Julio arde. https://t.co/Yo9L5u3h09
2,RAMIROMARRA,Hoy podríamos tener a nuestras fuerzas de seguridad mejores preparadas y con mejores herramientas para detener a lo… https://t.co/ESGRqnqaX0
3,JotitaJota1,https://t.co/nQ3xuj4pGE
4,abelrc2000,"@omardemarchi @horaciorlarreta Es Patricia a la que hay que apoyar , Larreta no nos lleva a ningún lado . Así de simple."
5,KarinArcuschin2,RT @KarinArcus_ok: Larreta junto a sus seguidores 😵‍💫 https://t.co/MFd5BL1wJk
6,FrankFalciola_,"@horaciorlarreta Larreta, seamos claros, no estas capacitado ni para manejar un club de barrio"
7,oldsmithsandra,RT @TodoNegativoCom: Así están los barrios porteños mientras Larreta lanza su candidatura. Que lo sepa todo el país porque este impresentab…
8,mancinir53,RT @gatoconbotas_58: hoy a cara descubierta vemos como el embajador de EE. UU. participa junto a larreta y morales del armado de la invasió…
9,Alechiara65,"RT @BorgiaLucrecia3: El camino negro vas a empezar Larreta , Segui soñando es gratis y sin impuestos."
10,ldacos1,RT @ldacos1: #Encuesta JxCA vos te interesa cerrar la grieta como propone Larreta ?
11,Maricri14603115,"@majogm Si es Larreta, no voy a ir a votar"
12,tutanmarcos,Yo voto a Larreta. Confío en el cambio. #Horacio2023
13,gustavoinforme,@LPOArg Los encuestadores se confunden (a propósito) al decir que los votos de Bullrich se quedan en JxC y van a La… https://t.co/LIOgR9gyEW
14,V2Pope,"RT @StarkDSC: @WolffWaldo @horaciorlarreta Hola Waldo, seguí arrastrandote con Larreta por favor. Es divertidisimo ver como te putean macri…"
15,SoloOtraSilvia,"RT @susiheidi: @slospennato Dios nos libre del hdp traidor de Larreta !!! Si no esta Macri o Patricia voto a Milei , NO a la porqueria que…"
16,PetiVero,"@ToroCabron_ Si gana Larreta ni loca voto a milei , mí voto es nulo."
17,GuardiaViejaAr1,RT @reflexite: Larreta roba con sus partidas presupuestarias escondidas e infladas.Con eso paga su campaña presidencial y derrocha en tro…
18,MarisaZavaleta,"RT @NandoilTurco: @PregoneroL Es pelado infame es potencialmente peor que los kirchos, que son delincuentes pero son una banda de monos pel…"
19,vickykane55,RT @marcalpalazzolo: 🔴Larreta quiere terminar la grieta con el kirchnerismo. Con el peor gobierno de la historia Argentina no se cierra nin…
20,HugoDalimier,RT @TodoNegativoCom: Así están los barrios porteños mientras Larreta lanza su candidatura. Que lo sepa todo el país porque este impresentab…
21,_catetopuesto,RT @deyongdm: @AlanLongy Que salgan a la luz justo el día que Larreta se lanza a presidente muestra lo acabado y pulido del mecanismo del c…
22,morandi_oscar,RT @GFrondizi: Vos opinas @estebanbullrich Te desiluciono q se puso del lado de larreta?
