,Usuario,Tweet
0,CFKArgentina,Las vallas del Sr. Larretahttps://t.co/ycAxZBKDEo
1,marianorecalde,Se suspende el acto de hoy en Parque Lezama. Las vallas de Larreta no van a frenar el apoyo a Cristina.TODOS A… https://t.co/UGDTRPYQUF
2,myriambregman,Repudiamos la represión de la policía de Larreta y defendemos el derecho a manifestarse libremente. ¡Libertad a los detenidos ya! 
3,milton_olivera,RT @myriambregman: Repudiamos la represión de la policía de Larreta y defendemos el derecho a manifestarse libremente. ¡Libertad a los dete…
4,PPperonoelsapo,RT @tanomdq86: La policía de Larreta #TodosConCristinaMasQueNunca https://t.co/bs8oPEl3IX
5,emilio_aybar,"RT @678elprograma: La directora nacional de Migraciones, Florencia Carignano, publicó en sus redes imágenes de agentes de la policía de la…"
6,laudebaires,Son de manual. Basta larreta https://t.co/UbK91TKqKV
7,marianoarqk,@99Fbaldi Creo que ha llegado la hora de INTERVENIR CABA y destituir a Larreta para defender la Constitución Nacion… https://t.co/sy3G8s1g3a
8,LagesSergio,"@libermanmartin @horaciorlarreta Vos huevos?, Larreta? Jaja"
9,betyforgione,RT @MoreauLeopoldo: Larreta el principal proveedor de espias al gobierno de Macri rodeado de Vidal ( la de la Gestapo ) y su socia en el PA…
10,Ringo743,"RT @74carlosnob: Mí solaridad con los heridos en la represión de hoy por Larreta a los trabajadores, jubilados y estudiantes en la marcha e…"
11,KekitaLuciana,RT @GFrondizi: @PatoBullrich Es hora de separar la paja del trigo patricia No podemos seguir con larreta manes stolbizer y cía
12,Chinoherman,RT @ricardoroseto_: Larreta Basura ..lo unico que podes movilizar es a tu policia ..#MarchasPorCristina...
13,adolfomenagz,@yoconelcambio_ a Mauricio lo voto larreta me fundio el.negocio no lo votaría! ! ! 
14,AGallvitz,RT @wakundamm: La inacción de @FernandezAnibal y del presidente @alferdez frente a las provocaciones de Larreta habilitaron este desenlace.
15,NicoCuevasArg,"RT @GuidoCattaneo: En definitiva, felicitaciones a Larreta, le salió muy bien lo de las vallas. A mimir. 🫶🏼"
16,VictoriaDirecta,"RT @feramato: La diferencia de Larreta hablando sin gente, rodeado de políticos, con cara de derrotados y CFK en una tarima, en la calle, h…"
17,Sergio190463,"RT @LibertadDoctora: Hoy LARRETA no escucho a nadie, hoy espió y filmó, nos filmó, nos filmó 😵‍💫👇 https://t.co/YYIU37j3VR"
18,Ladygagarecarg1,"RT @ToroCabron_: El zángano de Santoro diciendo que cuando hacían protestas contra CFK en Recoleta, Larreta no decía nada. El sorete compar…"
19,olgainesruiz,"RT @marcelopueIIaok: Hoy las manifestaciones de apoyo a Cristina iban a ser solamente en plazas, pero por culpa de la provocación de las va…"
20,Famonita,RT @jotaalonso: Repudio a Larreta y su Policía. https://t.co/wXv61TXbrA
21,MarianaCam7,RT @MiniNestor: ¿Qué te pasa Larreta? ¿Estás nervioso?Todxs a cuidar a Cristina a Jucal y Paraná. Te veo allá.
22,atejadaflores,RT @dibiasialej: Larreta dijo que la policía de la Ciudad nunca reprimió. Le aviso que cagaron a palos a las enfermeras cuando llevaron un…
23,alitapaz,RT @holasolprieto: Violencia es la que ejerció la policía de Larreta persiguiendo todo lo que se cruzara a su paso. Me tuve que escapar de…
24,anaeliz1999,"@guadaneme Dios mío y yo me quejo de mis vecino reguetoneros, pero a decir verdad tengo más autoridad q Larreta les… https://t.co/mR7Y5ofmkZ"
25,LoreArau,"RT @DnAkd2947: Extraordinaria respuesta del PUEBLO a Larreta: ""Que sepan que Cristina no está sola"" https://t.co/fgQG4c2gwm"
26,moment_waldo,Si lo tocan a Larreta las baldosas va sacar
27,lencinaaurora,"RT @dicomar61: Las piedras las plantan Larreta y compañia para generar violencia, y las tienen hasta pesadas. Son fascistas, violentos y an…"
28,gonzalezjf_,Intendente Sombrilla Larreta estás nervioshhho
29,DelaEmiliano,RT @VillarruelDario: Mañana en Secreto de Sumario...como se armó el vallado ...quien y como llevaron las piedras en contenedores ...y ademá…
30,CarlosA23867799,"@jorgemacri Volve a Vicente Lopez y llévate con con vos a Larreta, cagón! "
31,antoesgado,RT @VillarruelDario: Mañana en Secreto de Sumario...como se armó el vallado ...quien y como llevaron las piedras en contenedores ...y ademá…
32,RaulporsiempreK,RT @Sandra0111512: Larreta basura vos sos la dictadura 🥁🥁👊🏽🎵🎶🥁🎶#LarretaRepresor #MacrismoNuncaMas 🎶🥁🎵 presidenta ✌🏽🥁🎶✌🏽 Cristina Presid…
33,NorBeaRom,RT @diegowainstein: Larreta dejando una trampa en la que la gente no cayó.La violencia es el. https://t.co/WEloAcPx3y
34,terralybre,RT @Gustavo35323731: Por orden de larreta! ! !  https://t.co/PStQcYP9zh
35,rickicabj,"RT @Dr_GaIIardo: Ojo!  No es un mal resultado!   En un mismo fin de semana murieron las carreras políticas de Manes, Tetaz y Larreta."
