,Usuario,Tweet
0,ptbrasil,LULA NO PRIMEIRO TURNO
1,PaulinhoPH7,Amor à pátria é o c@ralh%!  AMOR AO POVO. Se não é em nome do povoNão é em nome da pátria. LULA no primeiro turno!  ❤️🌟Fora Bozo🤡
2,jairbolsonaro,"- O crime organizado apoia Lula, porque Lula representa os interesses deles. O brasileiro honesto e trabalhador est… https://t.co/LY6KvXSdIO"
3,jessepinkmx,RT @BiancaAndrade: gostosas com Lula @LulaOficial https://t.co/QcWFSABRN8
4,vventurole,RT @quiellore: 📄                                      📄memes se                       carta de…
5,Blue1666Boy,"RT @CentralEleicoes: 🇳🇿 BOLETINS DE URNA: NOVA ZELÂNDIA Em 4 urnas da cidade de Wellington, na Nova Zelândia, o ex-presidente presidente…"
6,0_mariaana,"RT @jnascim: 🇫🇷 Na França, Paris em festa com a perspectiva de LULA PRESIDENTE HOJE https://t.co/DY8IVqb6Nw"
7,CardozinhoAna,"RT @maisbrasil: Tu vens, tu vens!  👨🏻‍🦳❤️⭐️•#ViraVoto #VotoUtil #LulaPresidente #PresidenteLula #Lula #LulaLa #OBrasilFelizDeNovo #LulaNoP…"
8,MichaelleChaves,RT @zcynoise: se o lula não ganhar eu me *
9,juanpasaar09ho4,RT @mauroaguilar3: Lula perdió el dedo meñique cuando tenía 17 años. Se lo aplastó trabajando en una fábrica de San Pablo. Cuando eleva la…
10,MirellaBransfo,RT @gduvivier: lula deve estar recebendo uns 2 mil votos por segundoenquanto voce leu esse tuite ele recebeu 10 mil votossorria
11,odranoel0013,RT @defantediogo: se o lula for presidente eu meto um show 0800 no parque de madureira e banco a vinda d caravanas de outros estados do br.…
12,MarquesPiedade,"RT @rosalih: Pegamos imensa fila para votar em Lisboa, Portugal. Muita gente de vermelho!  É Lula no primeiro turno!  https://t.co/SkJgQyZQYm"
13,wixtness,RT @quiellore: 📄                                      📄memes se                       carta de…
14,Cassiss_,"RT @jnascim: 🇫🇷 Na França, Paris em festa com a perspectiva de LULA PRESIDENTE HOJE https://t.co/DY8IVqb6Nw"
15,ellyxtw,RT @quiellore: 📄                                      📄memes se                       carta de…
16,gaab_alxx,pra votar no lula é em qualquer delegacia ou tem que ir em Curitiba?
17,_BeaBello,RT @ptbrasil: LULA NO PRIMEIRO TURNO
18,srtrainor,"RT @meghan_charts: Desejo à todos os fãs brasileiros da Meghan uma ótima eleição, votem consciente, votem Lula 13!  #LulaNoPrimeiroTurno13…"
19,jijicoskz,RT @sambadogato: gente baixem o app logo e comecem a coletar corações pra votar no lula amanhã precisamos aumentar o gap urgente ele nao po…
20,Kauan_devito_,RT @sailorbiophilia: eu na urna vendo a foto do lula aparecendo https://t.co/xv4HJKpTyX
21,juliamenezess,"a vontade hoje era sai de vermelho da cabeça aos pés, toda adesivada de lula e com a bandeira da stela nas costas,… https://t.co/Oq8anFFN1Y"
22,fvchalamet,RT @digolei: Lula venceu na Austrália nova Zelândia coreia do sul so quero sabe como q ele vai faze p governa esse tanto de país
23,byreneboo,@halloweenght A eu eo lula ali bem besties amo mto
24,YJmudamundos,"RT @LucasRezende4: Metrô aqui em Lisboa parecia jogo do Benfica, mas era tudo Lula! !  Loucura"
25,MaraCristina101,"RT @jnascim: 🇫🇷 Na França, Paris em festa com a perspectiva de LULA PRESIDENTE HOJE https://t.co/DY8IVqb6Nw"
26,hidden_dryl,RT @hopenthestreets: pra mim petista que nao conseguir dar mais de mil votos diários nao é petista de verdade (mil pra cada petista) eu ten…
27,rmeuphria,RT @sugaweare: sabe o que o lula e o bts tem em comum??? é que eles pegam #1 em varios países
28,abreuisabellaa,como vota os participantes da fazenda? Deolane vai ficar puta de não poder votar no Lula kkkk
29,gomeseduarda11,"Ai eu nem sei viu, lula no primeiro turno Brasil por favor❤️💬"
30,ogmorais,Indo votar no Lula com o manto do peixão
31,eulaerthfelipe,RT @PaulinhoPH7: Amor à pátria é o c@ralh%!  AMOR AO POVO. Se não é em nome do povoNão é em nome da pátria. LULA no primeiro turno! …
32,jorge1225341752,"RT @diegoescosteguy: A pedido de Lula e do PT, o presidente do TSE, ministro Alexandre de Moraes, acaba de censurar - sim, se trata de cens…"
33,Thamiri00529441,RT @quiellore: 📄                                      📄memes se                       carta de…
34,francis11lo,Lula #FelizDomingo #ElPeos #ChaoMascarillas Estadio Seguro Pamela Venegas Colo Colo #vamoscolocolo Buen Domingo… https://t.co/Dnj4RisScT
35,fernandarotili,RT @digolei: Lula venceu na Austrália nova Zelândia coreia do sul so quero sabe como q ele vai faze p governa esse tanto de país
36,lovzuko,"RT @dinlenrau: ATENÇAO ATE AGORA: as votações foram encerradas em nova zelandia, australia, coreia do sul e japao em nova zelandia: LU…"
37,lusk1908,caralho se o Lula venceu até na Polônia... https://t.co/0zClru9r0T
38,smoothceci,"RT @choquei: 🚨AGORA: Lula venceu em Ramala com 592 votos, contra 52 votos do candidato Bolsonaro #Eleicoes2022 https://t.co/mWpKgopOaP"
39,ariasnotme,"RT @cinefilo_K: pra quem chorou com o golpe na DILMA, com a prisão injusta do LULA e com a derrota do Haddad,chorar com LULA PRESIDENTE a…"
40,PboGabriel,"Engraçado essa galera q vota no lula, falando q bolsonaro matou mt gnt na epoca do covid, mas tava la no aruba, fes… https://t.co/73AKRMRvJN"
41,gonza_27,RT @IMedicis: O primeiro voto no Lula a gente não esquece♥️ #LulaNoPrimeiroTurno13 https://t.co/j4zQtgzDui
42,labelledejour9,"RT @escutai: Lula venceu no 1º turno na Palestina, Oriente Médio!  #Eleicoes2022 https://t.co/XYuFrBY0hx"
43,MarcofDoom18,"RT @thecoleslaws: Brazilian election really brought out the bolsominions in greater Boston, as critical of lula as I am it will be nice to…"
44,AnaPaul95390738,"RT @AndreJanonesAdv: Não há mais tempo pra reação!  Estou monitorando mais de 700 grupos de face e Whats, e as Fake News que eles criam por…"
45,bellstrabao,RT @UpdateKGirls: 🚨 É ELE!  Lula venceu o 1° turno na Tailândia. #Eleicoes2022 https://t.co/LkdXJjJohC
46,incantavax,"RT @CentralEleicoes: 🗳️BOLETIM DA URNA:📍Varsóvia, PolôniaVotos totalizados na Polônia. Lula venceu com 213 votos https://t.co/ofrB6jHmJw"
47,WagnerSouzaVie4,RT @roberta_bastoss: Aqui na minha sessão eleitoral cheguei com blusa do Lula e segurando a bandeira do Brasil. Veio um senhor pedir pra ti…
48,lixpaIlet,RT @UpdateKGirls: 🚨 É ELE!  Lula venceu o 1° turno na Tailândia. #Eleicoes2022 https://t.co/LkdXJjJohC
49,HechacheOmar,RT @Snowden: Lula.
50,moranguva,RT @damarinaandrade: Resultado folgado para Lula nas urnas em outros países sinaliza que o brasileiro no exterior não aguenta mais explicar…
51,z_melllo,RT @paiva: lula se vc sentiu uma cutucada no furico agora é pq eu acabei de apertar 13 COM FORÇA na urna
52,AdryanJales,"RT @jnascim: 🇫🇷 Na França, Paris em festa com a perspectiva de LULA PRESIDENTE HOJE https://t.co/DY8IVqb6Nw"
53,elson57005213,@ThiagoResiste Ta preparado para chorar a derrota do ladrão do lula kkkkkk
54,serialainexp,já escascaram briga com papai (pq ele é lula e o resto da família nao) e eu ouvindo DJ arana tranquilo no quarto
55,josealajos22,RT @ManuelZ19422461: @zodicap41 @Redi_Capital2 @libertad003 @PrensaFANB @RomeroBolivarVz @GBJimenezV 🇻🇪 #2Oct || ¡VENCEREMOS! #JuntosRegres…
56,Arianesv_,RT @JoaquinTeixeira: URNAS FECHADAS EM CUBA 🇨🇺BOLSONARO 0X0 LULALÁ NINGUÉM PODE VOTARVIVA A DEMOCRACIA
57,bauerdn_,onde vai ser o churras pra comemorar a vitória do Lula?
58,littlwchaery,"RT @CentralEleicoes: 🗳️BOLETIM DA URNA:📍Varsóvia, PolôniaVotos totalizados na Polônia. Lula venceu com 213 votos https://t.co/ofrB6jHmJw"
59,avacari,"RT @LuizGus11975531: @leandroruschel Alexandre de Morais como bom defensor do PCC , não quer o nome da facção envolvida com o lula .. ."
60,k4nglis,RT @ilyseulgikang: PRESIDENTE LULA ASSISTINDO SEULGI 28 REASONS https://t.co/7bE3nyqh4C
61,Euestefanyalvez,lula reeleito 🙏🙏 https://t.co/tMSWiLtEG4
62,bydmany,se o lula ganhar no primeiro turno eu faço uma loucura
63,eullazaro,"RT @viivopelaanitta: ￣￣￣￣￣￣￣￣￣￣￣| NEGROS, MULHERES            LGBTQI+              NÃO VOTA                EM         BOLSONARO |＿＿＿…"
64,PhillipeBotelh1,RT @AugustoBackes: Com todo respeito a seu posicionamento político. Mas quem vota no PT e no Lula é DOENTE e Ignorante econômico e da reali…
65,yeonartinsiar,RT @i666shim: LULA VENCEU NA AUSTRALIAKKKKKKKKKKKK FAZ O L JAKE FAZ O 13 C AS MAOS AI PAPAIIII ⭐️⭐️⭐️1️⃣3️⃣
66,monstered15,RT @BiancaAndrade: gostosas com Lula @LulaOficial https://t.co/QcWFSABRN8
67,JoaoGuaidao,"RT @paoladeorte: Lula ganhou entre os palestinos brasileiros.O ex-presidente levou 592 dos 716 votos em Ramala, nos territórios palestino…"
