,Usuario,Tweet
0,BandaiNamcoES,"Sinluz, recorramos juntos un nuevo camino.Shadow of the Erdtree, la próxima expansión de #ELDENRING, está actualm… https://t.co/kwTYg038m5"
1,alfredocornejo,"Hoy @Alferdez habló, mejor dicho, mintió sobre lo maravillosa de su gestión. Mientras tanto medio país está sin luz… https://t.co/L5xMal0KG8"
2,VPITV,#Ahora | Centro de Caracas #SinLuz por segundo día consecutivo. Habitantes de la avenida Fuerzas Armadas protestaro… https://t.co/MlYPdBz8xR
3,PalmieriWarren,RT @elisamas1: Apagón Nacional y Popular.Todes #SinLuzSeguí ✌otando 💩 https://t.co/wzflCU7N5Z
4,mitamores,"RT @BejaranoYalita: Hola, soy la pava tradicional. Tal vez me recuerden cuando hay corte de luz y como ""Prendé la hornalla y poné la pava"",…"
5,PerezAle70,RT @elisamas1: Apagón Nacional y Popular.Todes #SinLuzSeguí ✌otando 💩 https://t.co/wzflCU7N5Z
6,ruth_canesin,#SinLuz e Internet funciona a pedal... ¡Qué país bananero somos! ✌✌✌
7,DarioPapioLoren,#SinLuz #CorteDeLuz #apagón #atucha1 #Argenzuela
8,santi_fernetero,los empleados de atucha 1 en estos momentos #SinLuz #CorteDeLuz https://t.co/3oJjxeELcV
9,NicoOrtegaa09,RT @TikyDylan: Los Team Verano tienen prohibido quejarse del corte de luz.Hijos de puta. #SinLuz
10,MauraLaJaii,RT @porquetendencia: #SinLuz:Por cortes de luz en distintos lugares del país https://t.co/6YbHkyDrzk
11,RichardJoePerez,"RT @edujac84: Una vez más azotada #SinLuz Ya más de 8 hrs sin luz Urbs Pto Morro, Doral Beach, Pblo Viejo y toda la zona alrededor del Cari…"
12,bellardi6,"RT @Marcelo24_8: En fin ..... es sin asado, heladera vacía, 50% de pobreza, 94% de inflación y con 36 grados todo el país sin luz.Gracias…"
13,hectorjosebuzzo,"RT @laurmachado: ¡LA MITAD DEL PAÍS SIN LUZ! Hoy dijo el presidente: ""Argentina producirá la energía que el mundo está necesitando"" y, en e…"
14,mitamores,RT @BetaKong05: Imagen exclusiva del lagarto gigante que atacó Atucha I y que produjo el masivo corte de luz en todo el país.Fuente: Tela…
15,Lilisagit,RT @GabriellaItal: Lpmqtp @alferdezcómo era eso de que somos la ENERGÍA para el mundo?#apagon @OficialEdesurHDMP #SinLuz
16,Lucasaie84,RT @SeguInfo: Un poco de luz (cuac) sobre el tema #CorteDeLuz #apagon #sinluz  hilo👇
17,yapycelestes,"RT @alfredocornejo: Hoy @Alferdez habló, mejor dicho, mintió sobre lo maravillosa de su gestión. Mientras tanto medio país está sin luz. Da…"
18,hannareyn1,RT @Mostar2Bastar2: Muchaaaacho!!ahora nos volvimos a ensolar#SinLuz #ArgentinaCampeondelMundo
19,coronelpatito1,"RT @laurmachado: ¡LA MITAD DEL PAÍS SIN LUZ! Hoy dijo el presidente: ""Argentina producirá la energía que el mundo está necesitando"" y, en e…"
20,gonzaHmarotti,#SinLuz y sin ganas de vivir. https://t.co/pgum8qOaQB
21,Yesimoyano,El que me devuelva primero la #luz tiene un votito #SinLuz #apagonmasivo #atucha
22,MikeReategui,@alferdez @CFKArgentina #SinLuz #CorteDeLuz también por adversidad externa? 🙄
23,eslokhayahre,"RT @laurmachado: ¡LA MITAD DEL PAÍS SIN LUZ! Hoy dijo el presidente: ""Argentina producirá la energía que el mundo está necesitando"" y, en e…"
24,Ivan_Panelli_,"Cada vez que Alverso Fernandez hace cadena nacional, horas después Argentina sufre una desgracia #SinLuz"
25,Mabby64,RT @FinalTelegraph: Staged Havana Syndrome Lula #BidenDestroysAmerica Bret Baier Telegraph DeSatan Janet Yellen Serbia Jack Dorsey #WomensH…
26,6ta_cuenta,"RT @Paola_Furtado: #SinLuz  Cuánta batería les queda?Nos vemos gente, abrazo. 💋Controlen si tienen agua, aquí se cortó https://t.co/YHIQf…"
27,XRot4ot9,"Bueno ya, hace mucho calor y me aburrí devuelvanme la luz...#SinLuz"
28,Srtamandarin,RT @TheBairesMarket: Atucha 2 dándolo todo sosteniendo a la otra mitad del país. #SinLuz https://t.co/qjkhseqWGJ
29,Gabo_156,RT @MicaelaDeJota: Alberto Fernández: “Argentina es la energía q necesita el mundo”2 horas más tarde Argentina se queda #SinLuzEl chiste…
30,Chalecitaa,RT @eduardogel19: Último momento!!!Así se originó el #CorteDeLuz #SinLuz https://t.co/oOrWBEuwC1
31,SelnookTheKitty,RT @facujperezarg: Hace algunas horas el Presidente Alberto Fernández habló de nuestra capacidad para gozar de autoabastecimiento energétic…
32,VillordoMaria,RT @elisamas1: Apagón Nacional y Popular.Todes #SinLuzSeguí ✌otando 💩 https://t.co/wzflCU7N5Z
